                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.2015,                0.45455,                      1,                 1.2978,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.2702,                0.45455,                      1,                 1.2978,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.1602,                0.45455,                      1,                 1.3027,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.1808,                0.45455,                      1,                 1.3037,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.1713,                0.45455,                      1,                 1.3086,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.1559,                0.45455,                      1,                 1.3086,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.1843,                0.45455,                      1,                 1.3066,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.2374,                0.45455,                      1,                 1.3086,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.1381,                0.45455,                      1,                 1.3154,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.1731,                0.45455,                      1,                 1.3154,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.2038,                0.45455,                      1,                 1.3223,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.1642,                0.45455,                      1,                 1.3272,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.2188,                0.45455,                      1,                 1.3193,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.1928,                0.45455,                      1,                 1.3193,             0.00017679,             0.00017679,             0.00017679
                     78,                  1.185,                0.36364,                      1,                 1.3184,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.1973,                0.27273,                      1,                 1.3242,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.2717,                0.27273,                      1,                 1.3125,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.2251,                0.27273,                      1,                 1.3125,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.1293,                0.27273,                      1,                 1.3047,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.2065,                0.27273,                      1,                 1.3037,             0.00013437,             0.00013437,             0.00013437
                     84,                  1.229,                0.27273,                      1,                 1.2998,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.1596,                0.27273,                      1,                 1.2998,             0.00012024,             0.00012024,             0.00012024
                     86,                  1.214,                0.27273,                      1,                 1.2969,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.2914,                0.27273,                      1,                 1.2939,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.2744,                0.27273,                      1,                  1.291,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.2122,                0.27273,                      1,                  1.291,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                   1.15,                0.36364,                      1,                  1.292,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.1776,                0.45455,                      1,                  1.292,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.1379,                0.45455,                      1,                  1.291,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.2269,                0.45455,                      1,                  1.291,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.1791,                0.45455,                      1,                  1.291,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.1722,                0.45455,                      1,                  1.291,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.2343,                0.45455,                      1,                 1.2891,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 1.1972,                0.45455,                      1,                 1.2891,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 1.2536,                0.45455,                      1,                  1.292,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.2046,                0.45455,                      1,                  1.291,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.1683,                0.45455,                      1,                   1.29,             1.4209e-05,             1.4209e-05,             1.4209e-05
